Genus[7][8][b],Meaning or derivation,Family[4],Order[4],C,G
Calliandra,attractive stamens,Fabaceae,Fabales,,G
Callicarpa,attractive fruit,Lamiaceae,Lamiales,C,G
Callicoma,attractive hair,Cunoniaceae,Oxalidales,,G
Callirhoe,Callirrhoe,Malvaceae,Malvales,C,G
Callisia,beauty,Commelinaceae,Commelinales,C,G
Callistemon,attractive stamens,Myrtaceae,Myrtales,C,G
Callistephus,attractive crown (the flowers),Asteraceae,Asterales,C,G
Callitriche,attractive hair,Plantaginaceae,Lamiales,,G
Callitris,"attractive triples (the leaves, for instance)",Cupressaceae,Pinales,,G
Calluna,tidying or beautifying,Ericaceae,Ericales,C,G
Calocedrus,attractive cedar,Cupressaceae,Pinales,C,G
Calocephalus,attractive head (the flowers),Asteraceae,Asterales,,G
Calochortus,attractive grass,Liliaceae,Liliales,C,G
Calodendrum,attractive tree,Rutaceae,Sapindales,,G
Calophaca,attractive lentil,Fabaceae,Fabales,,G
Calophyllum,beautiful leaves[4],Calophyllaceae,Malpighiales,,G
Calopogon,attractive beard (on the lips),Orchidaceae,Asparagales,,G
Calothamnus,attractive shrub,Myrtaceae,Myrtales,,G
Calotropis,attractive boat,Apocynaceae,Gentianales,,G
Caltha,Latin name,Ranunculaceae,Ranunculales,C,G
Calycanthus,calyx flower (the sepals are like the petals)[4],Calycanthaceae,Laurales,C,G
Calypso,Calypso,Orchidaceae,Asparagales,,G
Calytrix,Hairy calyx. Previously Calythrix.,Myrtaceae,Myrtales,,G
Camassia,Chinookan name,Asparagaceae,Asparagales,C,G
Campanula,Latin: little bell (the flowers)[4],Campanulaceae,Asterales,C,G
Camphorosma,camphor-scented,Amaranthaceae,Caryophyllales,,G
Campsidium,Campsis-like,Bignoniaceae,Lamiales,,G
Campsis,curved (the stamens),Bignoniaceae,Lamiales,C,G
Cananga,Malayan name,Annonaceae,Magnoliales,,G
Canarina,Canary Islands,Campanulaceae,Asterales,,G
Canavalia,Malabar name,Fabaceae,Fabales,,G
Canella,little Canna[4],Canellaceae,Canellales,,G
Canistrum,Latin: basket (the bracts),Bromeliaceae,Poales,,G
Canna,Irish Celtic word for a reed or cane[4],Cannaceae,Zingiberales,C,G
Cannabis,Greek and Latin name[4],Cannabaceae,Rosales,,G
Cantua,Peruvian name,Polemoniaceae,Ericales,C,G
Capparis,Greek name[4],Capparaceae,Brassicales,,G
Capsicum,bite (the spiciness),Solanaceae,Solanales,C,G
Caragana,Mongol name,Fabaceae,Fabales,C,G
Caralluma,"Telugu name, possibly",Apocynaceae,Gentianales,,G
Cardamine,Greek name,Brassicaceae,Brassicales,C,G
Cardiocrinum,heart lily (the leaves),Liliaceae,Liliales,C,G
Cardiospermum,heart seed (white spots on the seeds),Sapindaceae,Sapindales,C,G
Carduncellus,little Carduus,Asteraceae,Asterales,,G
Carduus,Latin name,Asteraceae,Asterales,,G
Carex,Latin name,Cyperaceae,Poales,C,G
Carica,Latin name[4],Caricaceae,Brassicales,,G
Carissa,originally from Sanskrit,Apocynaceae,Gentianales,,G
Carpinus,Latin name,Betulaceae,Fagales,C,G
Carpobrotus,edible fruit,Aizoaceae,Caryophyllales,C,G
Carpodetus,constricted fruit (narrower in the middle),Rousseaceae,Asterales,,G
Carthamus,from Arabic,Asteraceae,Asterales,,G
Carum,Greek name,Apiaceae,Apiales,C,G
Carya,Greek name,Juglandaceae,Fagales,C,G
Caryopteris,nut wing (the wings on the fruit),Lamiaceae,Lamiales,C,G
Caryota,nut,Arecaceae,Arecales,,G
Cassia,Greek name,Fabaceae,Fabales,,G
Cassiope,Cassiopeia,Ericaceae,Ericales,C,G
Castanea,Greek and Latin name,Fagaceae,Fagales,C,G
Castanopsis,Castanea-like,Fagaceae,Fagales,,G
Castano­spermum,Castanea seed,Fabaceae,Fabales,,G
Casuarina,From a Malaysian word for cassowary[4],Casuarinaceae,Fagales,,G
Catalpa,Native American name,Bignoniaceae,Lamiales,C,G
Catananche,Greek name,Asteraceae,Asterales,C,G
Catasetum,bristles pointing down (on the columns),Orchidaceae,Asparagales,,G
Catha,Arabic name,Celastraceae,Celastrales,,G
Caulophyllum,stem-leaf (the single large leaf),Berberidaceae,Ranunculales,,G
Ceanothus,Greek name,Rhamnaceae,Rosales,C,G
Cecropia,Cecrops I,Urticaceae,Rosales,,G
Cedrela,Latin: little cedar,Meliaceae,Sapindales,,G
Cedronella,Latin: little cedar,Lamiaceae,Lamiales,,G
Cedrus,Greek and Latin name,Pinaceae,Pinales,C,G
Ceiba,South American name,Malvaceae,Malvales,,G
Celastrus,Greek name[4],Celastraceae,Celastrales,C,G
Celmisia,"Celmisios, whose mother was the Greek nymph Alciope",Asteraceae,Asterales,,G
Celosia,burning (the hues of the flowers),Amaranthaceae,Caryophyllales,C,G
Celtis,Greek name,Cannabaceae,Rosales,C,G
Centaurea,centaur,Asteraceae,Asterales,C,G
Centaurium,centaur,Gentianaceae,Gentianales,,G
Centradenia,spur gland (on the anthers),Melastomataceae,Myrtales,,G
Centranthus,spur flowers,Caprifoliaceae,Dipsacales,C,G
Centropogon,spur beard (on the stigmas),Campanulaceae,Asterales,,G
Centrosema,spur standard,Fabaceae,Fabales,,G
Cephalanthus,head of flowers,Rubiaceae,Gentianales,,G
Cephalaria,(flower) heads,Caprifoliaceae,Dipsacales,C,G
Cephalocereus,head Cereus,Cactaceae,Caryophyllales,C,G
Cephalo­stachyum,head spike (the flower spikes),Poaceae,Poales,,
Cephalotaxus,head Taxus,Cephalotaxaceae,Pinales,,G
Cerastium,horn (the shape of the capsules),Caryophyllaceae,Caryophyllales,C,G
Ceratonia,Greek name,Fabaceae,Fabales,,G
Ceratopetalum,horned (antler-shaped) petals,Cunoniaceae,Oxalidales,,G
Ceratophyllum,horned (antler-shaped) leaves[4],Ceratophyllaceae,Ceratophyllales,C,G
Ceratostigma,horn stigmas,Plumbaginaceae,Caryophyllales,C,G
