,Genus,Meaning or derivation,Family,Order,C,G
1463,Sanguinaria,Latin: blood (the sap),Papaveraceae,Ranunculales,C,G
1464,Sanguisorba,Latin: blood-absorbing (the styptic roots),Rosaceae,Rosales,C,G
1465,Santalum,Greek and Latin name[4],Santalaceae,Santalales,,G
1466,Santolina,Latin name,Asteraceae,Asterales,C,G
1467,Sapindus,Latin: soap of India,Sapindaceae,Sapindales,,G
1468,Sapium,Latin name,Euphorbiaceae,Malpighiales,,G
1469,Saponaria,Latin: soap,Caryophyllaceae,Caryophyllales,C,G
1470,Saraca,an East Indian name,Fabaceae,Fabales,,G
1471,Sarcocaulon,fleshy stems,Geraniaceae,Geraniales,,
1472,Sarcochilus,fleshy lips,Orchidaceae,Asparagales,,
1473,Sarcococca,fleshy berries,Buxaceae,Buxales,C,G
1474,Sarcostemma,fleshy garland,Apocynaceae,Gentianales,,G
1475,Sasa,Japanese name,Poaceae,Poales,C,G
1476,Sassafras,Spanish name,Lauraceae,Laurales,,G
1477,Satureja,"Latin name, from Arabic",Lamiaceae,Lamiales,C,G
1478,Sauromatum,lizard,Araceae,Alismatales,,G
1479,Saururus,lizard tail[4],Saururaceae,Piperales,,G
1480,Saxifraga,Latin: stone-breaking[4],Saxifragaceae,Saxifragales,C,G
1481,Scabiosa,itching,Caprifoliaceae,Dipsacales,C,G
1482,Scadoxus,umbel glory,Amaryllidaceae,Asparagales,,G
1483,Schinus,Greek and Latin name,Anacardiaceae,Sapindales,,G
1484,Schisandra,divided male parts (the anthers)[4],Schisandraceae,Austrobaileyales,C,G
1485,Schismatoglottis,divided tongue (the spathes),Araceae,Alismatales,,
1486,Schizanthus,divided flowers,Solanaceae,Solanales,,G
1487,Schizocodon,divided bell (the corollas),Diapensiaceae,Ericales,,
1488,Schizolobium,divided lobe (the pods),Fabaceae,Fabales,,G
1489,Schizopetalon,divided petals,Brassicaceae,Brassicales,,G
1490,Schizophragma,divided wall (the septa in the fruit),Hydrangeaceae,Cornales,C,G
1491,Sciadopitys,umbel or parasol + pine or fir (the leaves)[4],Sciadopityaceae,Pinales,C,G
1492,Scilla,Greek and Latin name,Asparagaceae,Asparagales,C,G
1493,Scindapsus,Greek name,Araceae,Alismatales,,G
1494,Scirpus,Latin name,Cyperaceae,Poales,C,G
1495,Scleranthus,hard flowers,Caryophyllaceae,Caryophyllales,,G
1496,Sclerocactus,harsh cactus (the spines),Cactaceae,Caryophyllales,,
1497,Scoliopus,bent (the flower stalks),Liliaceae,Liliales,,G
1498,Scolymus,Greek and Latin name,Asteraceae,Asterales,,G
1499,Scorpiurus,scorpion tail (the pods),Fabaceae,Fabales,,G
1500,Scorzonera,Old French and Italian derivation,Asteraceae,Asterales,,G
1501,Scrophularia,Latin: scrofula[4],Scrophulariaceae,Lamiales,C,G
1502,Scutellaria,Latin: saucer (on the fruiting calyx),Lamiaceae,Lamiales,C,G
1503,Scuticaria,Latin: whip (the leaves),Orchidaceae,Asparagales,,
1504,Scyphanthus,beaker flowers,Loasaceae,Cornales,,G
1505,Scyphostegia,beaker cover,Salicaceae,Malpighiales,,
1506,Secale,Latin name,Poaceae,Poales,,G
1507,Sechium,from a West Indian name,Cucurbitaceae,Cucurbitales,,G
1508,Securidaca,Latin: axe (on the end of the pods),Polygalaceae,Fabales,,G
1509,Securigera,Latin: axe-bearing (the pods are axe-shaped),Fabaceae,Fabales,,G
1510,Sedum,Latin: sitting (on rocks and walls). Latin name.,Crassulaceae,Saxifragales,C,G
1511,Selenicereus,moon (night-blooming) Cereus,Cactaceae,Caryophyllales,,G
1512,Selenipedium,moon sandal (the lip of the flowers),Orchidaceae,Asparagales,,
1513,Semele,Semele,Asparagaceae,Asparagales,,G
1514,Sempervivum,Latin: ever-living. Latin name.,Crassulaceae,Saxifragales,C,G
1515,Senecio,Latin: old man (the whitish hairs on the fruit),Asteraceae,Asterales,C,G
1516,Serapias,Serapis,Orchidaceae,Asparagales,,G
1517,Sericocarpus,silky fruit,Asteraceae,Asterales,,G
1518,Serissa,an East Indian name,Rubiaceae,Gentianales,,G
1519,Serratula,Latin: little saw (the leaf edges),Asteraceae,Asterales,C,G
1520,Sesamum,"Greek and Latin name, from a Semitic name",Pedaliaceae,Lamiales,,G
1521,Sesbania,from an Arabic name,Fabaceae,Fabales,,G
1522,Seseli,Greek and Latin name,Apiaceae,Apiales,,G
1523,Setaria,bristles (on the spikelet),Poaceae,Poales,C,G
1524,Sibiraea,Siberia,Rosaceae,Rosales,,G
1525,Sicana,from a Peruvian name,Cucurbitaceae,Cucurbitales,,
1526,Sicyos,Greek and Latin name,Cucurbitaceae,Cucurbitales,,G
1527,Sida,Greek name,Malvaceae,Malvales,,G
1528,Sidalcea,from Sida and Alcea,Malvaceae,Malvales,C,G
1529,Siderasis,rusty fur (the reddish hair),Commelinaceae,Commelinales,,
1530,Sideritis,Greek and Latin name,Lamiaceae,Lamiales,,G
1531,Sideroxylon,iron wood,Sapotaceae,Ericales,,G
1532,Silene,Greek name,Caryophyllaceae,Caryophyllales,C,G
1533,Silphium,Greek and Latin name,Asteraceae,Asterales,C,G
1534,Silybum,Greek name,Asteraceae,Asterales,C,G
1535,Simethis,"Symaethis, one of the Naiads of Greek myth. Listed by Quattrocchi as Symethus.",Asphodelaceae,Asparagales,,G
1536,Sinapis,Latin name,Brassicaceae,Brassicales,,G
1537,Sinomenium,Chinese moon (the curved fruit-stone),Menispermaceae,Ranunculales,,G
1538,Siphocampylus,curved tube (the corollas),Campanulaceae,Asterales,,G
1539,Sisymbrium,Greek and Latin name,Brassicaceae,Brassicales,,G
1540,Sisyrinchium,Greek name,Iridaceae,Asparagales,C,G
1541,Sium,Greek name,Apiaceae,Apiales,,G
1542,Skimmia,from a Japanese name,Rutaceae,Sapindales,C,G
1543,Smilax,Greek and Latin name[4],Smilacaceae,Liliales,C,G
1544,Smyrnium,myrrh-scented,Apiaceae,Apiales,C,G
1545,Solanum,Latin name[4],Solanaceae,Solanales,C,G
1546,Soldanella,"little coin, probably (the leaves)",Primulaceae,Ericales,,G
1547,Solidago,Latin: making whole (reputed healing properties),Asteraceae,Asterales,C,G
1548,Sonchus,Greek and Latin name,Asteraceae,Asterales,,G
1549,Sonerila,Malabar name,Melastomataceae,Myrtales,,
1550,Sophora,from an Arabic name,Fabaceae,Fabales,C,G
1551,Sorbaria,Sorbus-like,Rosaceae,Rosales,C,G
1552,Sorbus,Latin name,Rosaceae,Rosales,C,G
1553,Sorghum,from an Italian name,Poaceae,Poales,,G
1554,Sparaxis,torn (spathes),Iridaceae,Asparagales,,G
1555,Sparganium,ribbon (the leaves). Greek and Latin name.,Typhaceae,Poales,C,G
1556,Spartium,Greek name,Fabaceae,Fabales,C,G
1557,Spathiphyllum,leafy spathe,Araceae,Alismatales,C,G
1558,Spathodea,spathe-like (calyx),Bignoniaceae,Lamiales,,G
1559,Spathoglottis,spathe-tongue (the middle lobe of the flower's lip),Orchidaceae,Asparagales,,
1560,Sphaeralcea,globe (the fruit) + Alcea,Malvaceae,Malvales,C,G
1561,Spilanthes,dotted flowers (dotted with pollen),Asteraceae,Asterales,,G
1562,Spinacia,from an Arabic and Persian name,Amaranthaceae,Caryophyllales,C,G
1563,Spiraea,Greek and Latin name,Rosaceae,Rosales,C,G
1564,Spiranthes,spiral flowers,Orchidaceae,Asparagales,,G
1565,Spondias,Greek name,Anacardiaceae,Sapindales,,G
1566,Spyridium,basket-like (calyx),Rhamnaceae,Rosales,,
1567,Stachys,Greek and Latin name,Lamiaceae,Lamiales,C,G
1568,Stachytarpheta,thick spikes,Verbenaceae,Lamiales,,G
1569,Stachyurus,spike tail (the inflorescences)[4],Stachyuraceae,Crossosomatales,C,G
1570,Staphylea,clusters (of flowers)[4],Staphyleaceae,Crossosomatales,C,G
1571,Stelis,Greek name,Orchidaceae,Asparagales,,
1572,Stellaria,Latin: star (the flowers),Caryophyllaceae,Caryophyllales,,G
1573,Stenandrium,narrow male parts (the stamens),Acanthaceae,Lamiales,,
1574,Stenanthium,narrow flower (sepals and petals),Melanthiaceae,Liliales,,G
1575,Stenocarpus,narrow fruit,Proteaceae,Proteales,,G
1576,Stenoglottis,narrow (lip) tongue,Orchidaceae,Asparagales,,G
1577,Stenospermation,narrow seedlet,Araceae,Alismatales,,
1578,Stenotaphrum,narrow trench (on the stalks),Poaceae,Poales,,G
1579,Stephanotis,Greek name,Apocynaceae,Gentianales,,G
1580,Sterculia,Sterquilinus,Malvaceae,Malvales,,G
1581,Stictocardia,spotted heart (-shaped leaves),Convolvulaceae,Solanales,,G
1582,Stigmaphyllon,leafy stigma,Malpighiaceae,Malpighiales,,G
1583,Stipa,tow,Poaceae,Poales,C,G
1584,Stomatium,mouth,Aizoaceae,Caryophyllales,,G
1585,Stratiotes,Greek and Latin name,Hydrocharitaceae,Alismatales,,G
1586,Streptocarpus,twisted fruit,Gesneriaceae,Lamiales,C,G
1587,Streptopus,twisted stalks,Liliaceae,Liliales,,G
1588,Streptosolen,twisted (corolla) tubes,Solanaceae,Solanales,,G
1589,Strobilanthes,cone of flowers,Acanthaceae,Lamiales,C,G
1590,Stromanthe,bed of flowers (the inflorescences),Marantaceae,Zingiberales,,G
1591,Strombocactus,spinning-top cactus,Cactaceae,Caryophyllales,,G
1592,Strongylodon,rounded (calyx) teeth,Fabaceae,Fabales,,
1593,Strophanthus,cord flowers,Apocynaceae,Gentianales,,G
1594,Strychnos,Greek and Latin name,Loganiaceae,Gentianales,,G
1595,Stylidium,little pillar (the style and stamens form a column)[4],Stylidiaceae,Asterales,,G
1596,Stylophorum,style-bearing,Papaveraceae,Ranunculales,,G
1597,Styrax,"Greek and Latin name, from an Arabic name[4]",Styracaceae,Ericales,C,G
1598,Succisa,truncated (the rhizome),Caprifoliaceae,Dipsacales,C,G
1599,Swida,Czech name[d],Cornaceae,Cornales,,
1600,Sycopsis,fig-like (the leaves),Hamamelidaceae,Saxifragales,C,G
1601,Symphoricarpos,bearing fruit together (in clusters),Caprifoliaceae,Dipsacales,C,G
1602,Symphytum,Greek and Latin name,Boraginaceae,Boraginales,C,G
1603,Symplocarpus,combination fruit (the ovaries grow together),Araceae,Alismatales,,G
1604,Symplocos,combination (the unified stamens)[4],Symplocaceae,Ericales,,G
1605,Synechanthus,continuous flowers,Arecaceae,Arecales,,
1606,Syngonium,united gonads (the ovaries),Araceae,Alismatales,,G
1607,Syringa,pipe (the stems),Oleaceae,Lamiales,C,G
1608,Syzygium,joined,Myrtaceae,Myrtales,,G
1609,Tabebuia,Brazilian name,Bignoniaceae,Lamiales,,G
1610,Tacca,from an Indonesian name,Dioscoreaceae,Dioscoreales,,G
1611,Tagetes,Tages,Asteraceae,Asterales,C,G
1612,Taiwania,Taiwan,Cupressaceae,Pinales,,G
1613,Tamarindus,from an Arabic name,Fabaceae,Fabales,,G
1614,Tamarix,Latin name[4],Tamaricaceae,Caryophyllales,C,G
1615,Tanacetum,from a Medieval Latin name,Asteraceae,Asterales,C,G
1616,Tapeinochilos,short lip,Costaceae,Zingiberales,,G
1617,Taraxacum,from an Arabic and Persian name,Asteraceae,Asterales,,G
1618,Taxodium,like Taxus,Cupressaceae,Pinales,C,G
1619,Taxus,Latin name[4],Taxaceae,Pinales,C,G
1620,Tecoma,from a Nahuatl name,Bignoniaceae,Lamiales,C,G
1621,Tectona,from a Tamil name,Lamiaceae,Lamiales,,G
1622,Tellima,anagram of Mitella,Saxifragaceae,Saxifragales,C,G
1623,Telopea,seen from far away (the flowers),Proteaceae,Proteales,C,G
1624,Telosma,scent from far away,Apocynaceae,Gentianales,,G
1625,Tephrosia,ashen (the leaves),Fabaceae,Fabales,,G
1626,Terminalia,Latin: terminal (the leaves are at the end of the shoots),Combretaceae,Myrtales,,G
1627,Tetracentron,four spurs (on the fruit),Trochodendraceae,Trochodendrales,,G
1628,Tetraclinis,bed of four (the whorls of leaves),Cupressaceae,Pinales,,G
1629,Tetragonia,four-angled (fruit),Aizoaceae,Caryophyllales,C,G
1630,Tetragonolobus,four-angled pods,Fabaceae,Fabales,,G
1631,Tetranema,four threads (the stamens),Plantaginaceae,Lamiales,,G
1632,Tetrapanax,four (-petalled) Panax,Araliaceae,Apiales,C,G
1633,Tetratheca,four boxes (anthers),Elaeocarpaceae,Oxalidales,,G
1634,Teucrium,Greek and Latin name,Lamiaceae,Lamiales,C,G
1635,Thalictrum,Greek and Latin name,Ranunculaceae,Ranunculales,C,G
1636,Thelesperma,nippled seeds,Asteraceae,Asterales,,G
1637,Thelocactus,nippled cactus,Cactaceae,Caryophyllales,,G
1638,Theobroma,food of the gods,Malvaceae,Malvales,,G
1639,Thermopsis,lupin-like,Fabaceae,Fabales,C,G
1640,Thespesia,holy,Malvaceae,Malvales,,G
1641,Thladiantha,eunuch (staminode) flowers,Cucurbitaceae,Cucurbitales,,G
1642,Thlaspi,Greek and Latin name,Brassicaceae,Brassicales,,G
1643,Thrinax,trident,Arecaceae,Arecales,,G
1644,Thuja,Greek name,Cupressaceae,Pinales,C,G
1645,Thujopsis,like Thuja,Cupressaceae,Pinales,C,G
1646,Thymus,Greek and Latin name,Lamiaceae,Lamiales,C,G
1647,Thysanotus,fringed (flowers),Asparagaceae,Asparagales,,G
1648,Tiarella,little crown (the fruit),Saxifragaceae,Saxifragales,C,G
1649,Tibouchina,from a Guianese name,Melastomataceae,Myrtales,,G
1650,Tigridia,Latin: tiger (flowers),Iridaceae,Asparagales,C,G
1651,Tilia,Latin name,Malvaceae,Malvales,C,G
1652,Tipuana,from a South American name,Fabaceae,Fabales,,G
1653,Titanopsis,TItan (Helios),Aizoaceae,Caryophyllales,,G
1654,Tithonia,Tithonus,Asteraceae,Asterales,,G
1655,Tococa,Guyanese name,Melastomataceae,Myrtales,,G
1656,Trachelium,neck,Campanulaceae,Asterales,,G
1657,Trachelo­spermum,neck (-shaped) seeds,Apocynaceae,Gentianales,C,G
1658,Trachycarpus,rough fruit,Arecaceae,Arecales,C,G
1659,Trachymene,rough membrane (on the fruits),Apiaceae,Apiales,,G
1660,Trachystemon,rough stamens,Boraginaceae,Boraginales,C,G
1661,Tragopogon,goat beard (the silk),Asteraceae,Asterales,,G
1662,Trapa,Latin: from caltrop (the four-pointed fruit),Lythraceae,Myrtales,,G
1663,Trichilia,three-part (ovary),Meliaceae,Sapindales,,G
1664,Trichodiadema,hairy crowns,Aizoaceae,Caryophyllales,,G
1665,Tricholaena,hairy cloak (on the spikelets),Poaceae,Poales,,G
1666,Trichopilia,hairy cap (on the anthers),Orchidaceae,Asparagales,,G
1667,Trichosanthes,hairy (fringed) flowers,Cucurbitaceae,Cucurbitales,,G
1668,Trichostema,hair-like stamens,Lamiaceae,Lamiales,,G
1669,Tricyrtis,three swellings (the red nectaries below the petals),Liliaceae,Liliales,C,G
1670,Tridax,Greek and Latin name,Asteraceae,Asterales,,G
1671,Trifolium,three leaflets. Latin name.,Fabaceae,Fabales,C,G
1672,Trigonella,little three-cornered (flowers),Fabaceae,Fabales,,G
1673,Trilisa,anagram of Liatris,Asteraceae,Asterales,,G
1674,Trillium,three (-leaved) Lilium,Melanthiaceae,Liliales,C,G
1675,Triosteum,three bones (the hard seeds),Caprifoliaceae,Dipsacales,,G
1676,Triphasia,triple (the flower parts),Rutaceae,Sapindales,,G
1677,Triplaris,triple (the flower parts),Polygonaceae,Caryophyllales,,G
1678,Tripleuro­spermum,three-ribbed seeds (the achenes),Asteraceae,Asterales,,G
1679,Tripogandra,three bearded male parts (the longer stamens),Commelinaceae,Commelinales,,G
1680,Tripterygium,three wings (on the fruit),Celastraceae,Celastrales,,G
1681,Trisetum,three bristles,Poaceae,Poales,,G
1682,Tristagma,three drops (the nectaries),Amaryllidaceae,Asparagales,C,G
1683,Trithrinax,three tridents (the leaves),Arecaceae,Arecales,,G
1684,Triticum,Latin name,Poaceae,Poales,,G
1685,Tritonia,Latin: weather vane (a metaphor for the diverse stamens),Iridaceae,Asparagales,C,G
1686,Trochodendron,wheel (appearance of the stamens) + tree[4],Trochodendraceae,Trochodendrales,C,G
1687,Trollius,from a Swiss German name,Ranunculaceae,Ranunculales,C,G
1688,Tropaeolum,trophy[4],Tropaeolaceae,Brassicales,C,G
1689,Tsuga,from a Japanese name,Pinaceae,Pinales,C,G
1690,Tuberaria,tuber-like (the thick roots),Cistaceae,Malvales,,G
1691,Tulipa,Turkish: turban,Liliaceae,Liliales,C,G
1692,Tussilago,(remedy for) coughing,Asteraceae,Asterales,,G
1693,Typha,Greek and Latin name[4],Typhaceae,Poales,C,G
1694,Ulex,Latin name,Fabaceae,Fabales,C,G
1695,Ullucus,Peruvian name,Basellaceae,Caryophyllales,,G
1696,Ulmus,Latin name[4],Ulmaceae,Rosales,C,G
1697,Umbellularia,Latin: little umbels,Lauraceae,Laurales,C,G
1698,Umbilicus,Latin: navels (in the leaves),Crassulaceae,Saxifragales,C,G
1699,Uniola,Latin name,Poaceae,Poales,,G
1700,Urceolina,Latin: little pitcher (the flowers),Amaryllidaceae,Asparagales,,G
1701,Urera,Latin: stinging,Urticaceae,Rosales,,G
1702,Urtica,Latin name[4],Urticaceae,Rosales,,G
1703,Utricularia,Latin: little bottles (that trap insects),Lentibulariaceae,Lamiales,,G
1704,Uvaria,Latin: like a bunch of grapes,Annonaceae,Magnoliales,,G
1705,Uvularia,Latin: uvula (a metaphor for the hanging flowers),Colchicaceae,Liliales,C,G
1706,Vaccaria,"Latin: cow, possibly",Caryophyllaceae,Caryophyllales,,G
1707,Vaccinium,Latin name,Ericaceae,Ericales,C,G
1708,Valeriana,Medieval Latin name,Caprifoliaceae,Dipsacales,C,G
1709,Valerianella,Latin: little Valeriana,Caprifoliaceae,Dipsacales,,G
1710,Vallaris,Latin: fence stakes (which they sometimes grow on),Apocynaceae,Gentianales,,G
1711,Vanda,from a Sanskrit name,Orchidaceae,Asparagales,,G
1712,Vandopsis,like Vanda,Orchidaceae,Asparagales,,G
1713,Vanilla,"Spanish name, derived from Latin: vagina (sheath), for the pods",Orchidaceae,Asparagales,,G
1714,Veratrum,Latin: true black (the roots),Melanthiaceae,Liliales,C,G
1715,Verbascum,Latin name,Scrophulariaceae,Lamiales,C,G
1716,Verbena,Latin: ceremonial plant[4],Verbenaceae,Lamiales,C,G
1717,Verbesina,Latin: like Verbena,Asteraceae,Asterales,C,G
1718,Verticordia,Latin: heart-turner (an epithet of Venus),Myrtaceae,Myrtales,,G
1719,Viburnum,Latin name,Adoxaceae,Dipsacales,C,G
1720,Vicia,Latin: binding (the tendrils). Latin name.,Fabaceae,Fabales,C,G
1721,Vinca,Latin: winding around. Latin name.,Apocynaceae,Gentianales,C,G
1722,Vincetoxicum,Latin: conquering poison,Apocynaceae,Gentianales,,G
1723,Viola,Latin name[4],Violaceae,Malpighiales,C,G
1724,Viscum,Latin name,Santalaceae,Santalales,,G
1725,Vitex,Latin name,Lamiaceae,Lamiales,C,G
1726,Vitis,Latin name[4],Vitaceae,Vitales,C,G
1727,Xanther­anthemum,yellow Eranthemum,Acanthaceae,Lamiales,,G
1728,Xanthisma,yellow (flowers),Asteraceae,Asterales,C,G
1729,Xanthoceras,yellow horn (the glands between the petals),Sapindaceae,Sapindales,C,G
1730,Xanthorhiza,yellow root,Ranunculaceae,Ranunculales,C,G
1731,Xanthorrhoea,yellow sap,Asphodelaceae,Asparagales,,G
1732,Xanthosoma,yellow body,Araceae,Alismatales,,G
1733,Xeranthemum,(long-lasting) dry flowers,Asteraceae,Asterales,,G
1734,Xerophyllum,dry leaves,Melanthiaceae,Liliales,C,G
1735,Xylobium,wood-life (epiphytes),Orchidaceae,Asparagales,,G
1736,Yucca,Caribbean name,Asparagaceae,Asparagales,C,G
1737,Yushania,Yu Shan,Poaceae,Poales,C,
1738,Zamia,from a Latin name[4],Zamiaceae,Cycadales,C,G
1739,Zanthoxylum,yellow wood,Rutaceae,Sapindales,,G
1740,Zea,Greek and Latin name,Poaceae,Poales,C,G
1741,Zelkova,from a Georgian name,Ulmaceae,Rosales,C,G
1742,Zephyranthes,western flower,Amaryllidaceae,Asparagales,C,G
1743,Zigadenus,yoked glands (in pairs),Melanthiaceae,Liliales,,G
1744,Zingiber,"Greek and Latin name, from a Sanskrit name[4]",Zingiberaceae,Zingiberales,,G
1745,Zizania,Greek and Latin name,Poaceae,Poales,,G
1746,Ziziphus,"Greek and Latin name, from a Persian name",Rhamnaceae,Rosales,,G
1747,Zygopetalum,yoked petals,Orchidaceae,Asparagales,,G
