,Genus,Meaning or derivation,Family,Order,C,G
823,Haemanthus,blood flowers,Amaryllidaceae,Asparagales,,G
824,Haematoxylum,blood wood (yielding a red dye),Fabaceae,Fabales,,G
825,Halimium,seaside,Cistaceae,Malvales,C,G
826,Halimodendron,(salt-tolerant) seaside tree,Fabaceae,Fabales,C,G
827,Hamamelis,Greek name[4],Hamamelidaceae,Saxifragales,C,G
828,Haplopappus,single pappus,Asteraceae,Asterales,,G
829,Harpephyllum,sickle leaves,Anacardiaceae,Sapindales,,G
830,Hedeoma,from a Greek name,Lamiaceae,Lamiales,,G
831,Hedera,Latin name,Araliaceae,Apiales,C,G
832,Hedychium,sweet snow (the scented white flowers),Zingiberaceae,Zingiberales,C,G
833,Hedyotis,sweet ear,Rubiaceae,Gentianales,,G
834,Hedysarum,Greek name,Fabaceae,Fabales,C,G
835,Hedyscepe,sweet covering (the flowers),Arecaceae,Arecales,,G
836,Helenium,Greek and Latin name,Asteraceae,Asterales,C,G
837,Heliamphora,marsh jar (a pitcher plant),Sarraceniaceae,Ericales,,G
838,Helianthella,little Helianthus,Asteraceae,Asterales,,G
839,Helianthemum,sunny flowers (the habitat),Cistaceae,Malvales,C,G
840,Helianthus,sunflowers (the appearance),Asteraceae,Asterales,C,G
841,Helichrysum,sun of gold (the flowers),Asteraceae,Asterales,C,G
842,Helicodiceros,two spiral horns (at the base of the leaves),Araceae,Alismatales,,G
843,Heliconia,"Latin name, from Mount Helicon[4]",Heliconiaceae,Zingiberales,,G
844,Heliophila,sun-loving,Brassicaceae,Brassicales,,G
845,Heliopsis,sun-like (the flowers),Asteraceae,Asterales,C,G
846,Heliotropium,sun-facing,Heliotropiaceae,Boraginales,C,G
847,Helleborus,Greek name,Ranunculaceae,Ranunculales,C,G
848,Helonias,marsh,Melanthiaceae,Liliales,,G
849,Heloniopsis,like Helonias,Melanthiaceae,Liliales,,G
850,Hemerocallis,one-day beauty (the ephemeral flowers). Greek and Latin name.,Asphodelaceae,Asparagales,C,G
851,Hemiandra,half male-part (the reduced stamens),Lamiaceae,Lamiales,,G
852,Hemigraphis,half-brush (the hairy filaments),Acanthaceae,Lamiales,,G
853,Hemiptelea,half elm (the half-winged fruit),Ulmaceae,Rosales,,G
854,Hepatica,liver (the leaves),Ranunculaceae,Ranunculales,,G
855,Heracleum,Heracles,Apiaceae,Apiales,C,G
856,Herniaria,(a remedy for) hernia,Caryophyllaceae,Caryophyllales,,G
857,Hesperaloe,western Aloe,Asparagaceae,Asparagales,C,G
858,Hesperantha,evening flowers,Iridaceae,Asparagales,C,G
859,Hesperis,evening (when the flower scent is strongest),Brassicaceae,Brassicales,C,G
860,Heteranthera,diverse anthers (one is larger than the others),Pontederiaceae,Commelinales,,G
861,Heterocentron,diverse spurs,Melastomataceae,Myrtales,,G
862,Heteromeles,diverse apples,Rosaceae,Rosales,,G
863,Heterospathe,diverse spathes,Arecaceae,Arecales,,G
864,Hevea,Guyanan name,Euphorbiaceae,Malpighiales,,G
865,Hibiscus,Greek and Latin name,Malvaceae,Malvales,C,G
866,Hieracium,Greek name,Asteraceae,Asterales,,G
867,Hierochloe,sacred grass (for its use in ceremonies),Poaceae,Poales,C,G
868,Hippeastrum,"star of a horse, rider, or knight (the flowers)",Amaryllidaceae,Asparagales,C,G
869,Hippobroma,horse-rage (it is poisonous),Campanulaceae,Asterales,,G
870,Hippocrepis,horse shoe (the seed pods),Fabaceae,Fabales,C,G
871,Hippophae,Greek name,Elaeagnaceae,Rosales,C,G
872,Hoheria,Maori name,Malvaceae,Malvales,C,G
873,Holcus,Greek and Latin name,Poaceae,Poales,C,G
874,Holodiscus,undivided disk (the flowers),Rosaceae,Rosales,C,G
875,Homalanthus,flat flowers,Euphorbiaceae,Malpighiales,,G
876,Homalomena,flat moon; mistranslation of a Malayan name,Araceae,Alismatales,,
877,Hordeum,Latin name,Poaceae,Poales,C,G
878,Horminum,Greek and Latin name,Lamiaceae,Lamiales,C,G
879,Howea,Lord Howe Island (the habitat),Arecaceae,Arecales,,G
880,Humulus,German name,Cannabaceae,Rosales,C,G
881,Hura,South American name,Euphorbiaceae,Malpighiales,,G
882,Hyacinthus,Hyacinth. Greek and Latin name.,Asparagaceae,Asparagales,C,G
883,Hydrangea,water container (the cup-shaped capsules)[4],Hydrangeaceae,Cornales,C,G
884,Hydrastis,"water, by analogy with Hydrophyllum",Ranunculaceae,Ranunculales,,G
885,Hydriastele,water column (tree),Arecaceae,Arecales,,G
886,Hydrilla,"little water serpent, possibly",Hydrocharitaceae,Alismatales,,G
887,Hydrocharis,water grace[4],Hydrocharitaceae,Alismatales,,G
888,Hydrocleys,water key,Alismataceae,Alismatales,C,G
889,Hydrocotyle,shallow water cup (the leaves),Araliaceae,Apiales,,G
890,Hydrolea,water olive (the leaves)[4],Hydroleaceae,Solanales,,G
891,Hydrophyllum,watery leaves,Restionaceae,Poales,,G
892,Hylocereus,grove cactus,Cactaceae,Caryophyllales,,G
893,Hylomecon,grove poppy,Papaveraceae,Ranunculales,,G
894,Hymenaea,Hymen,Fabaceae,Fabales,,G
895,Hymenocallis,attractive membrane (on the stamens),Amaryllidaceae,Asparagales,,G
896,Hymenosporum,membranous seeds,Pittosporaceae,Apiales,,G
897,Hyophorbe,pig food,Arecaceae,Arecales,,G
898,Hyoscyamus,pig (poor) bean,Solanaceae,Solanales,,G
899,Hypericum,Greek and Latin name[4],Clusiaceae,Malpighiales,C,G
900,Hyphaene,meshing (the fruit fibres),Arecaceae,Arecales,,G
901,Hypocalymma,below a veil (of sepals),Myrtaceae,Myrtales,,G
